,ion,covalent,vdw,atomic_radius,pauling_en,en_allen,polarizability,melting_point,boiling_point,density,specific_heat,thermal_conductivity
69,6.25416,0.0,225.99999999999997,175.0,0.0,0.0,139.0,1097.0,1466.0,6.9654,0.145,0.0
70,5.425871,0.0,224.00000000000003,175.0,1.0,6.455,137.0,1936.0,3668.0,9.8404,0.155,0.0
71,6.82507,0.0,223.0,155.0,1.3,6.83,103.0,2503.0,5470.0,13.31,0.146,23.0
72,7.54957,0.0,222.00000000000003,145.0,1.5,7.93,74.0,3269.0,5698.0,16.654,0.14,57.5
73,7.86403,0.0,218.00000000000003,135.0,1.7,8.67,68.0,3680.0,5930.0,19.3,0.133,173.0
74,7.83352,0.0,216.0,135.0,1.9,9.46,62.0,3453.0,5900.0,21.02,0.138,48.0
75,8.43823,0.0,216.0,130.0,2.2,9.78,57.0,3327.0,5300.0,22.57,0.131,0.0
76,8.96702,0.0,213.0,135.0,2.2,9.96,54.0,2683.0,4403.0,22.42,0.133,147.0
77,8.95883,0.0,213.0,135.0,2.2,10.16,48.0,2045.0,4100.0,21.45,0.133,71.6
78,9.225553,0.0,214.0,135.0,2.4,11.33,36.0,1337.58,3080.0,19.3,0.129,318.0
79,10.437504,0.0,223.0,150.0,1.9,10.44,33.91,234.28,629.73,13.546,0.138,8.3
80,6.108287,190.0,196.0,190.0,1.8,0.0,50.0,576.6,1730.0,11.85,0.128,46.1
81,7.4166796,0.0,202.0,180.0,1.8,10.97,47.0,600.65,2013.0,11.35,0.159,35.3
82,7.285516,148.0,206.99999999999997,160.0,1.9,11.9,48.0,544.5,1883.0,9.747,0.124,7.9
83,1.065514274886e-311,1.0655142750637e-311,1.0655142752416e-311,1.0655142754194e-311,1.0655142755973e-311,1.065514275775e-311,1.065514275953e-311,1.0655142822336e-311,1.0655142824115e-311,1.0655142825893e-311,1.065514282767e-311,1.065514282945e-311
