,ID,Sn_ratio,Se_ratio,dopant1_num,dopant1_ratio,dopant2_num,dopant2_ratio,dopant3_num,dopant3_ratio,direction,Temp,category,el_cond,seebeck,thermal,ZT
0,TY1000,1.0,0.9801,17,0.01,9,0.0099,0,0,0,300,2,2.2208271488547324,-138.97748641967775,0.7582269906997681,0.0016971712957981966
1,TY1000,1.0,0.9801,17,0.01,9,0.0099,0,0,0,320,2,1.0046745419502259,-129.75973815917968,0.6935683131217957,0.0007804876824383751
2,TY1000,1.0,0.9801,17,0.01,9,0.0099,0,0,0,340,2,-1.8734612464904785,-152.2530715942383,0.6466530919075012,-0.002283412627635155
3,TY1000,1.0,0.9801,17,0.01,9,0.0099,0,0,0,360,2,-1.5841806769371032,-152.32491607666014,0.5686971783638001,-0.002326848106283581
4,TY1000,1.0,0.9801,17,0.01,9,0.0099,0,0,0,380,2,0.24823143035173417,-169.8821594238281,0.6240315079689026,0.00043624392664495923
5,TY1000,1.0,0.9801,17,0.01,9,0.0099,0,0,0,400,2,0.3103759169578552,-194.43292999267578,0.562006413936615,0.0008351151771776542
6,TY1000,1.0,0.9801,17,0.01,9,0.0099,0,0,0,420,2,-0.6118652760982514,-197.99778594970704,0.5453139305114746,-0.0018474775653300637
7,TY1000,1.0,0.9801,17,0.01,9,0.0099,0,0,0,440,2,-2.6235169172286987,-202.0982177734375,0.5188654243946076,-0.009086712371048605
8,TY1000,1.0,0.9801,17,0.01,9,0.0099,0,0,0,460,2,-2.979166102409363,-232.03896789550782,0.48826342821121216,-0.015111939407054822
9,TY1000,1.0,0.9801,17,0.01,9,0.0099,0,0,0,480,2,-2.9280595898628237,-229.45751953125,0.4937292575836182,-0.014987764957198212
10,TY1000,1.0,0.9801,17,0.01,9,0.0099,0,0,0,500,2,-3.076115596294403,-263.7006378173828,0.4557057797908783,-0.02346985895126207
11,TY1000,1.0,0.9801,17,0.01,9,0.0099,0,0,0,520,2,-3.562472939491272,-285.882080078125,0.45753121972084043,-0.033090859750332755
12,TY1000,1.0,0.9801,17,0.01,9,0.0099,0,0,0,540,2,0.38636150360107424,-341.60756225585936,0.45830094814300537,0.005312412673127599
13,TY1000,1.0,0.9801,17,0.01,9,0.0099,0,0,0,560,2,-0.45382879972457885,-357.3850952148438,0.45763534903526304,-0.007093056002836646
14,TY1000,1.0,0.9801,17,0.01,9,0.0099,0,0,0,580,2,4.5289659142494205,-378.6396484375,0.4283005952835083,0.08792867809970066
15,TY1000,1.0,0.9801,17,0.01,9,0.0099,0,0,0,600,2,4.778118479251861,-380.2412414550781,0.4069696605205536,0.10185082926152006
16,TY1000,1.0,0.9801,17,0.01,9,0.0099,0,0,0,620,2,3.2702709197998048,-406.46006469726564,0.4083264708518982,0.08203584404128522
17,TY1000,1.0,0.9801,17,0.01,9,0.0099,0,0,0,640,2,11.604155445098877,-400.78590698242186,0.40727992057800294,0.2929040630817115
18,TY1000,1.0,0.9801,17,0.01,9,0.0099,0,0,0,660,2,10.851128005981446,-399.57672119140625,0.4003384053707123,0.2856221770100474
19,TY1000,1.0,0.9801,17,0.01,9,0.0099,0,0,0,680,2,15.96978816986084,-381.63409423828125,0.37842238545417783,0.4179512055664221
20,TY1000,1.0,0.9801,17,0.01,9,0.0099,0,0,0,700,2,16.913727951049804,-381.08384399414064,0.3602894127368927,0.47722914104492037
21,TY1000,1.0,0.9801,17,0.01,9,0.0099,0,0,0,720,2,16.29376850128174,-381.5244873046875,0.35981603860855105,0.47458975082850363
22,TY1000,1.0,0.9801,17,0.01,9,0.0099,0,0,0,740,2,21.117987442016602,-375.4780212402344,0.36376063227653505,0.6056721325610755
23,TY1000,1.0,0.9801,17,0.01,9,0.0099,0,0,0,760,2,20.669395446777344,-363.8982360839844,0.3433584690093994,0.6058338059398993
24,TY1000,1.0,0.9801,17,0.01,9,0.0099,0,0,0,780,2,17.019746685028075,-365.82817993164065,0.3650626003742218,0.4866700993602394
25,TY1000,1.0,0.9801,17,0.01,9,0.0099,0,0,0,800,2,16.19751763343811,-372.3567138671875,0.37031821012496946,0.4851563918648058
26,TY1000,1.0,0.9801,17,0.01,9,0.0099,0,0,0,820,2,18.6491772711277,-360.42042846679686,0.3901743471622467,0.5091357751452397
27,TY1001,1.0,0.9801,17,0.01,9,0.0099,0,0,1,300,2,4.722597348690033,-122.75573425292968,1.1056827425956726,0.0019308797109732357
28,TY1001,1.0,0.9801,17,0.01,9,0.0099,0,0,1,320,2,2.2673119425773622,-112.99676971435547,1.0400840520858765,0.0008906865070108533
29,TY1001,1.0,0.9801,17,0.01,9,0.0099,0,0,1,340,2,-0.40918442904949187,-136.00310516357422,0.9586589694023132,-0.00026843029221391886
30,TY1001,1.0,0.9801,17,0.01,9,0.0099,0,0,1,360,2,0.0368462085723877,-136.11803741455077,0.8197810769081115,2.997980302391497e-05
31,TY1001,1.0,0.9801,17,0.01,9,0.0099,0,0,1,380,2,1.6700309140607714,-143.54957733154296,0.860450005531311,0.0015197995149560594
32,TY1001,1.0,0.9801,17,0.01,9,0.0099,0,0,1,400,2,1.7598868310451508,-175.97820129394532,0.7995680451393128,0.0027265097338508436
33,TY1001,1.0,0.9801,17,0.01,9,0.0099,0,0,1,420,2,0.8495185554027558,-182.2808074951172,0.7400780320167542,0.001601867293708974
34,TY1001,1.0,0.9801,17,0.01,9,0.0099,0,0,1,440,2,-0.5206653252243996,-176.9524139404297,0.7242233872413635,-0.0009904938199833402
